_id	volume	lesson	title	page	image_url	video_url	created_by	created_at	updated_at	level	theme	category	content	context	frequency	learning_level	categories	searchable_text
68a0a075c7933293a5cac850	1	1	起床	10	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859933/%E8%B5%B7%E5%BA%8A_g6juwm.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248247/%E8%B5%B7%E5%BA%8A_cd2bva.mp4	admin	2025-08-16T22:54:53.783346	2025-08-16T23:39:39.527761	初級		日常動作	起床	home_school	medium	beginner	"['日常動作', '', '']"	起床 綜合 beginner home_school
68a0a075c7933293a5cac851	1	1	早安	10	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E6%97%A9%E5%AE%89_jnoxps.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248245/%E6%97%A9%E5%AE%89_olevvf.mp4	admin	2025-08-16T22:54:53.784015	2025-08-16T23:39:40.300477	初級		其他	早安	home_school	medium	beginner	"['其他', '', '']"	早安 綜合 beginner home_school
68a0a075c7933293a5cac859	1	1	我	13	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859929/%E6%88%91_oelbf4.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248245/%E6%88%91_ufh3wj.mp4	admin	2025-08-16T22:54:53.787363	2025-08-16T23:39:41.153184	初級		人物關係	我	home_school	high	beginner	"['人物關係', '', '']"	我 綜合 beginner home_school
68a0a075c7933293a5cac855	1	1	開心	12	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859934/%E9%96%8B%E5%BF%83_xtezso.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248248/%E9%96%8B%E5%BF%83_p6wkur.mp4	admin	2025-08-16T22:54:53.785860	2025-08-16T23:39:40.838363	初級		情感表達	開心	home_school	medium	beginner	"['情感表達', '', '']"	開心 綜合 beginner home_school
68a0a075c7933293a5cac856	1	1	讀書	12	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859937/%E8%AE%80%E6%9B%B8_bstybe.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248248/%E8%AE%80%E6%9B%B8_wxhybd.mp4	admin	2025-08-16T22:54:53.786264	2025-08-16T23:39:40.920283	初級		物品工具	讀書	home_school	medium	beginner	"['物品工具', '', '']"	讀書 綜合 beginner home_school
68a0a075c7933293a5cac852	1	1	刷牙	11	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859930/%E5%88%B7%E7%89%99_vi6dkx.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248245/%E5%88%B7%E7%89%99_hmaair.mp4	admin	2025-08-16T22:54:53.784596	2025-08-16T23:39:40.416349	初級		日常動作	刷牙	home_school	medium	beginner	"['日常動作', '', '']"	刷牙 綜合 beginner home_school
68a0a075c7933293a5cac853	1	1	洗臉	11	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859931/%E6%B4%97%E8%87%89_mmfpvp.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248246/%E6%B4%97%E8%87%89_j6ns9j.mp4	admin	2025-08-16T22:54:53.785028	2025-08-16T23:39:40.567251	初級		日常動作	洗???	home_school	medium	beginner	"['日常動作', '', '']"	洗臉 綜合 beginner home_school
68a0a075c7933293a5cac854	1	1	穿衣服	12	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859931/%E7%A9%BF%E8%A1%A3%E6%9C%8D_o1m2eu.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248248/%E7%A9%BF%E8%A1%A3%E6%9C%8D_oija8v.mp4	admin	2025-08-16T22:54:53.785424	2025-08-16T23:39:40.739904	初級		日常動作	穿衣服	home_school	medium	beginner	"['日常動作', '', '']"	穿衣服 綜合 beginner home_school
68a0a075c7933293a5cac857	1	1	去	13	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859927/%E5%8E%BB_n5l6ky.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248244/%E5%8E%BB_os4fo5.mp4	admin	2025-08-16T22:54:53.786635	2025-08-16T23:39:40.994442	初級		其他	去	home_school	medium	beginner	"['其他', '', '']"	去 綜合 beginner home_school
68a0a075c7933293a5cac858	1	1	你	13	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E4%BD%A0_fal930.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758248244/%E4%BD%A0_k3aqip.mp4	admin	2025-08-16T22:54:53.786993	2025-08-16T23:39:41.091667	初級		人物關係	你	home_school	high	beginner	"['人物關係', '', '']"	你 綜合 beginner home_school
68a0a075c7933293a5cac85b	1	2	好	22	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E5%A5%BD_f8hz5s.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250395/%E5%A5%BD_mz3vq0.mp4	admin	2025-08-16T22:54:53.788108	2025-08-16T23:39:41.328282	初級		其他	好	home_school	medium	beginner	"['其他', '', '']"	好 綜合 beginner home_school
68a0a075c7933293a5cac85e	1	2	運動	24	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859936/%E9%81%8B%E5%8B%95_ymkmng.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250398/%E9%81%8B%E5%8B%95_smauwu.mp4	admin	2025-08-16T22:54:53.789218	2025-08-16T23:39:41.580983	初級		其他	運動	home_school	medium	beginner	"['其他', '', '']"	運動 綜合 beginner home_school
68a0a075c7933293a5cac85f	1	2	學	25	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859936/%E5%AD%B8_dswtqg.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250399/%E5%AD%B8_fml8z3.mp4	admin	2025-08-16T22:54:53.789586	2025-08-16T23:39:41.638495	初級		其他	學	home_school	medium	beginner	"['其他', '', '']"	學 綜合 beginner home_school
68a0a075c7933293a5cac85a	1	2	老師	22	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E8%80%81%E5%B8%AB_ikrx7l.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250398/%E8%80%81%E5%B8%AB_yj7n7o.mp4	admin	2025-08-16T22:54:53.787727	2025-08-16T23:39:41.253577	初級		人物關係	老師	home_school	medium	beginner	"['人物關係', '', '']"	老師 綜合 beginner home_school
68a0a075c7933293a5cac85d	1	2	畫畫	24	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859934/%E7%95%AB%E7%95%AB_kyfwa5.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250397/%E7%95%AB%E7%95%AB_wlapfi.mp4	admin	2025-08-16T22:54:53.788853	2025-08-16T23:39:41.493440	初級		其他	畫畫	home_school	medium	beginner	"['其他', '', '']"	畫畫 綜合 beginner home_school
68a0a075c7933293a5cac861	1	2	他	25	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859927/%E4%BB%96_odhgrt.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250393/%E4%BB%96_w5cxht.mp4	admin	2025-08-16T22:54:53.790531	2025-08-16T23:39:41.775393	初級		人物關係	他	home_school	high	beginner	"['人物關係', '', '']"	他 綜合 beginner home_school
68a0a075c7933293a5cac85c	1	2	同學	23	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E5%90%8C%E5%AD%B8_rwjvdd.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250395/%E5%90%8C%E5%AD%B8_omfsph.mp4	admin	2025-08-16T22:54:53.788484	2025-08-16T23:39:41.390388	初級		人物關係	同學	home_school	medium	beginner	"['人物關係', '', '']"	同學 綜合 beginner home_school
68a0a075c7933293a5cac860	1	2	多	25	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E5%A4%9A_u6wtjz.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758250396/%E5%A4%9A_jx39bl.mp4	admin	2025-08-16T22:54:53.790055	2025-08-16T23:39:41.712347	初級		其他	多	home_school	medium	beginner	"['其他', '', '']"	多 綜合 beginner home_school
68a0a075c7933293a5cac864	1	3	玩	35	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859931/%E7%8E%A9_y6b2wy.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758251116/%E7%8E%A9_feu30f.mp4	admin	2025-08-16T22:54:53.791631	2025-08-16T23:39:42.020392	初級		其他	玩	home_school	medium	beginner	"['其他', '', '']"	玩 綜合 beginner home_school
68a0a075c7933293a5cac868	1	3	你們	37	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859928/%E4%BD%A0%E5%80%91_i6vxdx.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758251111/%E4%BD%A0%E5%80%91_ffoa0s.mp4	admin	2025-08-16T22:54:53.793091	2025-08-16T23:39:42.307190	初級		人物關係	你們	home_school	high	beginner	"['人物關係', '', '']"	你們 綜合 beginner home_school
68a0a075c7933293a5cac862	1	3	朋友	34	https://res.cloudinary.com/dbmrnpwxd/image/upload/v1753859931/%E6%9C%8B%E5%8F%8B_a3y8ly.png	https://res.cloudinary.com/dbmrnpwxd/video/upload/v1758251114/%E6%9C%8B%E5%8F%8B_mptzfp.mp4	admin	2025-08-16T22:54:53.790912	2025-08-16T23:39:41.838262	初級		人物關係	朋友	home_school	medium	beginner	"['人物關係', '', '']"	朋友 綜合 beginner home_school
